name,name_kana,category,priority,homepage_url,recruit_page_url,inquiry_form_url,phone,address,employees_range,capital_jpy,established_year,ceo_name,hr_contact_name,hr_contact_email,hr_contact_phone,notes,source,status
日東工営,,設備工事,4,https://www.example.co.jp/35326/,https://www.example.co.jp/35326/recruit/,https://www.example.co.jp/35326/contact/,03-6310-9005,東京都千代田区,300-999,10000000,2015,,,,,,seed,active
太平電業,,設備工事,2,https://www.example.co.jp/660776/,https://www.example.co.jp/660776/recruit/,https://www.example.co.jp/660776/contact/,03-1949-4946,埼玉県さいたま市,50-99,30000000,1987,,,,,,seed,active
大成温調パートナー,,設備工事,5,https://www.example.co.jp/881821/,https://www.example.co.jp/881821/recruit/,https://www.example.co.jp/881821/contact/,03-2133-9727,東京都新宿区,1-9,3000000000,2010,,,,,,seed,active
斎久工業,,設備工事,2,https://www.example.co.jp/834542/,https://www.example.co.jp/834542/recruit/,https://www.example.co.jp/834542/contact/,03-5342-9645,埼玉県さいたま市,100-299,30000000,2018,,,,,,seed,active
ユアテック関東,,設備工事,3,https://www.example.co.jp/513498/,https://www.example.co.jp/513498/recruit/,https://www.example.co.jp/513498/contact/,03-4295-6107,東京都品川区,10-49,3000000000,2017,,,,,,seed,active
北日本設備,,設備工事,5,https://www.example.co.jp/433895/,https://www.example.co.jp/433895/recruit/,https://www.example.co.jp/433895/contact/,03-9479-8397,東京都港区,1000-2999,100000000,1995,,,,,,seed,active
北陸電気工事関東,,設備工事,3,https://www.example.co.jp/683340/,https://www.example.co.jp/683340/recruit/,https://www.example.co.jp/683340/contact/,03-4770-4608,東京都千代田区,1-9,10000000,1991,,,,,,seed,active
中部電力設備,,設備工事,2,https://www.example.co.jp/599839/,https://www.example.co.jp/599839/recruit/,https://www.example.co.jp/599839/contact/,03-2104-1514,東京都江東区,1000-2999,30000000,1955,,,,,,seed,active
明電設備工業,,設備工事,2,https://www.example.co.jp/132663/,https://www.example.co.jp/132663/recruit/,https://www.example.co.jp/132663/contact/,03-8953-4510,千葉県千葉市,10-49,1000000000,1983,,,,,,seed,active
東芝プラント関東,,設備工事,2,https://www.example.co.jp/620237/,https://www.example.co.jp/620237/recruit/,https://www.example.co.jp/620237/contact/,03-8749-7669,東京都渋谷区,300-999,30000000,2008,,,,,,seed,active
日揮プラント設備,,設備工事,2,https://www.example.co.jp/974999/,https://www.example.co.jp/974999/recruit/,https://www.example.co.jp/974999/contact/,03-7939-7735,神奈川県横浜市,1000-2999,50000000,2003,,,,,,seed,active
日立プラント関東,,設備工事,5,https://www.example.co.jp/822117/,https://www.example.co.jp/822117/recruit/,https://www.example.co.jp/822117/contact/,03-7596-6559,東京都港区,1-9,10000000,1960,,,,,,seed,active
三菱電機ビルサポート,,設備工事,3,https://www.example.co.jp/919251/,https://www.example.co.jp/919251/recruit/,https://www.example.co.jp/919251/contact/,03-3296-7912,東京都新宿区,10-49,100000000,2016,,,,,,seed,active
東京エネシス設備,,設備工事,3,https://www.example.co.jp/545334/,https://www.example.co.jp/545334/recruit/,https://www.example.co.jp/545334/contact/,03-2604-1828,千葉県千葉市,10-49,100000000,1957,,,,,,seed,active
関電プラント関東,,設備工事,4,https://www.example.co.jp/510035/,https://www.example.co.jp/510035/recruit/,https://www.example.co.jp/510035/contact/,03-7658-8956,神奈川県横浜市,1-9,30000000,1978,,,,,,seed,active
北陸電工関東,,設備工事,3,https://www.example.co.jp/410773/,https://www.example.co.jp/410773/recruit/,https://www.example.co.jp/410773/contact/,03-7209-1035,東京都品川区,100-299,30000000,1955,,,,,,seed,active
エクシオ設備,,設備工事,3,https://www.example.co.jp/765554/,https://www.example.co.jp/765554/recruit/,https://www.example.co.jp/765554/contact/,03-7930-8973,東京都新宿区,3000+,50000000,2006,,,,,,seed,active
ミライト設備,,設備工事,2,https://www.example.co.jp/734095/,https://www.example.co.jp/734095/recruit/,https://www.example.co.jp/734095/contact/,03-9883-1998,東京都江東区,10-49,300000000,1955,,,,,,seed,active
コムシスエンジニアリング,,設備工事,2,https://www.example.co.jp/804382/,https://www.example.co.jp/804382/recruit/,https://www.example.co.jp/804382/contact/,03-9701-3579,東京都千代田区,300-999,300000000,2009,,,,,,seed,active
NDS関東,,設備工事,5,https://www.example.co.jp/421177/,https://www.example.co.jp/421177/recruit/,https://www.example.co.jp/421177/contact/,03-2113-4853,東京都品川区,1-9,10000000,1971,,,,,,seed,active
SYSKEN東京,,設備工事,2,https://www.example.co.jp/515190/,https://www.example.co.jp/515190/recruit/,https://www.example.co.jp/515190/contact/,03-1651-2343,東京都品川区,300-999,300000000,1979,,,,,,seed,active
KCJ電設,,設備工事,4,https://www.example.co.jp/127223/,https://www.example.co.jp/127223/recruit/,https://www.example.co.jp/127223/contact/,03-5272-4346,東京都江東区,300-999,50000000,2014,,,,,,seed,active
TTKエンジニアリング,,設備工事,3,https://www.example.co.jp/858512/,https://www.example.co.jp/858512/recruit/,https://www.example.co.jp/858512/contact/,03-5915-8491,東京都江東区,100-299,1000000000,1964,,,,,,seed,active
TOENECサブコン,,設備工事,5,https://www.example.co.jp/457857/,https://www.example.co.jp/457857/recruit/,https://www.example.co.jp/457857/contact/,03-2638-2200,千葉県千葉市,1-9,100000000,1949,,,,,,seed,active
ナカノアイシステム設備,,設備工事,3,https://www.example.co.jp/514148/,https://www.example.co.jp/514148/recruit/,https://www.example.co.jp/514148/contact/,03-2127-5002,東京都江東区,50-99,50000000,1964,,,,,,seed,active
東和エンジニアリング,,設備工事,3,https://www.example.co.jp/728169/,https://www.example.co.jp/728169/recruit/,https://www.example.co.jp/728169/contact/,03-5956-9666,東京都千代田区,100-299,1000000000,2017,,,,,,seed,active
東京計器設備,,設備工事,4,https://www.example.co.jp/243928/,https://www.example.co.jp/243928/recruit/,https://www.example.co.jp/243928/contact/,03-2697-3200,東京都中央区,300-999,1000000000,1986,,,,,,seed,active
名工建設関東,,設備工事,2,https://www.example.co.jp/555853/,https://www.example.co.jp/555853/recruit/,https://www.example.co.jp/555853/contact/,03-5462-5616,埼玉県さいたま市,1-9,30000000,2018,,,,,,seed,active
東鉄工業設備,,設備工事,3,https://www.example.co.jp/710628/,https://www.example.co.jp/710628/recruit/,https://www.example.co.jp/710628/contact/,03-5325-9280,神奈川県横浜市,50-99,1000000000,1974,,,,,,seed,active
東鉄プラント,,設備工事,3,https://www.example.co.jp/977347/,https://www.example.co.jp/977347/recruit/,https://www.example.co.jp/977347/contact/,03-7939-5533,東京都千代田区,3000+,10000000,1954,,,,,,seed,active
東洋テクノ,,設備工事,1,https://www.example.co.jp/188643/,https://www.example.co.jp/188643/recruit/,https://www.example.co.jp/188643/contact/,03-5291-3647,神奈川県横浜市,3000+,1000000000,1964,,,,,,seed,active
関東テクノ建設,,設備工事,3,https://www.example.co.jp/233748/,https://www.example.co.jp/233748/recruit/,https://www.example.co.jp/233748/contact/,03-2232-3442,千葉県千葉市,100-299,10000000,1949,,,,,,seed,active
大東設備工業,,設備工事,1,https://www.example.co.jp/330534/,https://www.example.co.jp/330534/recruit/,https://www.example.co.jp/330534/contact/,03-8041-3088,東京都千代田区,50-99,30000000,2018,,,,,,seed,active
城東設備,,設備工事,3,https://www.example.co.jp/233346/,https://www.example.co.jp/233346/recruit/,https://www.example.co.jp/233346/contact/,03-4441-5088,東京都港区,3000+,50000000,1953,,,,,,seed,active
江東設備工業,,設備工事,3,https://www.example.co.jp/660171/,https://www.example.co.jp/660171/recruit/,https://www.example.co.jp/660171/contact/,03-3532-4878,東京都新宿区,300-999,300000000,2000,,,,,,seed,active
板橋設備,,設備工事,5,https://www.example.co.jp/775216/,https://www.example.co.jp/775216/recruit/,https://www.example.co.jp/775216/contact/,03-1406-3938,東京都江東区,3000+,100000000,1970,,,,,,seed,active
中野電気設備,,設備工事,4,https://www.example.co.jp/722869/,https://www.example.co.jp/722869/recruit/,https://www.example.co.jp/722869/contact/,03-3608-2771,東京都品川区,100-299,50000000,1979,,,,,,seed,active
世田谷空調,,設備工事,5,https://www.example.co.jp/589402/,https://www.example.co.jp/589402/recruit/,https://www.example.co.jp/589402/contact/,03-4269-8541,東京都江東区,3000+,30000000,2008,,,,,,seed,active
日本ファシリティーズ,,FM,3,https://www.example.co.jp/99080/,https://www.example.co.jp/99080/recruit/,https://www.example.co.jp/99080/contact/,03-1387-4164,東京都品川区,3000+,30000000,1977,,,,,,seed,active
東京FMサービス,,FM,3,https://www.example.co.jp/202972/,https://www.example.co.jp/202972/recruit/,https://www.example.co.jp/202972/contact/,03-5573-6753,千葉県千葉市,3000+,3000000000,1956,,,,,,seed,active
ジャパンFMパートナーズ,,FM,3,https://www.example.co.jp/203496/,https://www.example.co.jp/203496/recruit/,https://www.example.co.jp/203496/contact/,03-1452-2889,東京都中央区,3000+,50000000,2016,,,,,,seed,active
アクティオFM,,FM,2,https://www.example.co.jp/415134/,https://www.example.co.jp/415134/recruit/,https://www.example.co.jp/415134/contact/,03-8119-6663,東京都江東区,50-99,10000000,1952,,,,,,seed,active
三菱地所プロパティマネジメント,,FM,3,https://www.example.co.jp/290627/,https://www.example.co.jp/290627/recruit/,https://www.example.co.jp/290627/contact/,03-4114-5173,東京都千代田区,300-999,100000000,1962,,,,,,seed,active
三井不動産ファシリティーズ,,FM,4,https://www.example.co.jp/733726/,https://www.example.co.jp/733726/recruit/,https://www.example.co.jp/733726/contact/,03-9821-4228,東京都江東区,1-9,3000000000,2014,,,,,,seed,active
東急ファシリティサービス,,FM,3,https://www.example.co.jp/30553/,https://www.example.co.jp/30553/recruit/,https://www.example.co.jp/30553/contact/,03-6143-3041,東京都中央区,1000-2999,300000000,1990,,,,,,seed,active
住友不動産ビルサービス,,FM,3,https://www.example.co.jp/752949/,https://www.example.co.jp/752949/recruit/,https://www.example.co.jp/752949/contact/,03-7592-5844,千葉県千葉市,1000-2999,50000000,2000,,,,,,seed,active
野村ファシリティーズ,,FM,2,https://www.example.co.jp/548872/,https://www.example.co.jp/548872/recruit/,https://www.example.co.jp/548872/contact/,03-3851-5930,東京都品川区,100-299,1000000000,1996,,,,,,seed,active
森ビルホスピタリティ,,FM,3,https://www.example.co.jp/891500/,https://www.example.co.jp/891500/recruit/,https://www.example.co.jp/891500/contact/,03-4443-8043,埼玉県さいたま市,1-9,50000000,1986,,,,,,seed,active
JLLジャパンFM,,FM,4,https://www.example.co.jp/458991/,https://www.example.co.jp/458991/recruit/,https://www.example.co.jp/458991/contact/,03-8244-4501,千葉県千葉市,50-99,100000000,2007,,,,,,seed,active
CBREファシリティマネジメント,,FM,3,https://www.example.co.jp/743968/,https://www.example.co.jp/743968/recruit/,https://www.example.co.jp/743968/contact/,03-2389-5649,千葉県千葉市,3000+,1000000000,1969,,,,,,seed,active
シービーアールイー設備管理,,FM,4,https://www.example.co.jp/190772/,https://www.example.co.jp/190772/recruit/,https://www.example.co.jp/190772/contact/,03-4848-6085,東京都渋谷区,300-999,10000000,1990,,,,,,seed,active
コリアーズFM,,FM,4,https://www.example.co.jp/932273/,https://www.example.co.jp/932273/recruit/,https://www.example.co.jp/932273/contact/,03-5011-8784,埼玉県さいたま市,10-49,10000000,1951,,,,,,seed,active
クッシュマンFM,,FM,4,https://www.example.co.jp/451721/,https://www.example.co.jp/451721/recruit/,https://www.example.co.jp/451721/contact/,03-4185-7291,神奈川県横浜市,1-9,100000000,2006,,,,,,seed,active
ザイマックスFM,,FM,3,https://www.example.co.jp/230805/,https://www.example.co.jp/230805/recruit/,https://www.example.co.jp/230805/contact/,03-2746-7965,東京都渋谷区,10-49,3000000000,1948,,,,,,seed,active
東京建物アメニティサポート,,FM,2,https://www.example.co.jp/765275/,https://www.example.co.jp/765275/recruit/,https://www.example.co.jp/765275/contact/,03-1822-5082,東京都港区,1000-2999,100000000,2014,,,,,,seed,active
大成有楽不動産FM,,FM,3,https://www.example.co.jp/558622/,https://www.example.co.jp/558622/recruit/,https://www.example.co.jp/558622/contact/,03-9702-6198,神奈川県横浜市,3000+,1000000000,2007,,,,,,seed,active
日鉄興和不動産FM,,FM,4,https://www.example.co.jp/835918/,https://www.example.co.jp/835918/recruit/,https://www.example.co.jp/835918/contact/,03-9976-8305,東京都新宿区,1000-2999,100000000,2012,,,,,,seed,active
平和不動産FM,,FM,4,https://www.example.co.jp/202662/,https://www.example.co.jp/202662/recruit/,https://www.example.co.jp/202662/contact/,03-5050-5543,千葉県千葉市,100-299,50000000,2005,,,,,,seed,active
サンケイビルマネジメント,,FM,3,https://www.example.co.jp/608986/,https://www.example.co.jp/608986/recruit/,https://www.example.co.jp/608986/contact/,03-2269-5681,東京都渋谷区,10-49,100000000,1983,,,,,,seed,active
ヒューリックFM,,FM,3,https://www.example.co.jp/143336/,https://www.example.co.jp/143336/recruit/,https://www.example.co.jp/143336/contact/,03-3267-3471,東京都渋谷区,50-99,10000000,2017,,,,,,seed,active
スターツFM,,FM,3,https://www.example.co.jp/762216/,https://www.example.co.jp/762216/recruit/,https://www.example.co.jp/762216/contact/,03-7797-7678,東京都江東区,10-49,10000000,1975,,,,,,seed,active
リログループFM,,FM,3,https://www.example.co.jp/752508/,https://www.example.co.jp/752508/recruit/,https://www.example.co.jp/752508/contact/,03-7883-7381,埼玉県さいたま市,100-299,30000000,1955,,,,,,seed,active
東京都心FM,,FM,5,https://www.example.co.jp/627064/,https://www.example.co.jp/627064/recruit/,https://www.example.co.jp/627064/contact/,03-1096-6763,東京都中央区,1-9,100000000,1996,,,,,,seed,active
丸ノ内FM,,FM,4,https://www.example.co.jp/455590/,https://www.example.co.jp/455590/recruit/,https://www.example.co.jp/455590/contact/,03-9947-4613,神奈川県横浜市,3000+,300000000,2001,,,,,,seed,active
渋谷ファシリティーズ,,FM,3,https://www.example.co.jp/180055/,https://www.example.co.jp/180055/recruit/,https://www.example.co.jp/180055/contact/,03-7371-6507,東京都品川区,100-299,10000000,2010,,,,,,seed,active
新宿ファシリティ,,FM,4,https://www.example.co.jp/113251/,https://www.example.co.jp/113251/recruit/,https://www.example.co.jp/113251/contact/,03-9751-1441,東京都品川区,3000+,30000000,2007,,,,,,seed,active
品川FMオフィス,,FM,3,https://www.example.co.jp/76232/,https://www.example.co.jp/76232/recruit/,https://www.example.co.jp/76232/contact/,03-8022-3223,神奈川県横浜市,1000-2999,10000000,1951,,,,,,seed,active
池袋FMサービス,,FM,2,https://www.example.co.jp/18739/,https://www.example.co.jp/18739/recruit/,https://www.example.co.jp/18739/contact/,03-4467-8449,東京都江東区,50-99,50000000,1996,,,,,,seed,active
横浜FMパートナーズ,,FM,3,https://www.example.co.jp/269739/,https://www.example.co.jp/269739/recruit/,https://www.example.co.jp/269739/contact/,03-7906-5133,東京都港区,100-299,3000000000,1983,,,,,,seed,active
千葉ビルFM,,FM,3,https://www.example.co.jp/448244/,https://www.example.co.jp/448244/recruit/,https://www.example.co.jp/448244/contact/,03-6733-4673,東京都港区,1000-2999,10000000,2017,,,,,,seed,active
埼玉FMサービス,,FM,4,https://www.example.co.jp/245196/,https://www.example.co.jp/245196/recruit/,https://www.example.co.jp/245196/contact/,03-1508-5051,東京都渋谷区,1000-2999,3000000000,1953,,,,,,seed,active
川崎FM,,FM,4,https://www.example.co.jp/447099/,https://www.example.co.jp/447099/recruit/,https://www.example.co.jp/447099/contact/,03-3068-8758,東京都港区,300-999,30000000,1967,,,,,,seed,active
関東FMサポート,,FM,3,https://www.example.co.jp/215195/,https://www.example.co.jp/215195/recruit/,https://www.example.co.jp/215195/contact/,03-5198-7043,東京都新宿区,10-49,1000000000,2007,,,,,,seed,active
東日本FMホールディングス,,FM,4,https://www.example.co.jp/118249/,https://www.example.co.jp/118249/recruit/,https://www.example.co.jp/118249/contact/,03-3683-6096,東京都港区,1000-2999,3000000000,1962,,,,,,seed,active
西東京FM,,FM,3,https://www.example.co.jp/719315/,https://www.example.co.jp/719315/recruit/,https://www.example.co.jp/719315/contact/,03-4249-2245,埼玉県さいたま市,50-99,100000000,1996,,,,,,seed,active
湾岸FM,,FM,4,https://www.example.co.jp/938340/,https://www.example.co.jp/938340/recruit/,https://www.example.co.jp/938340/contact/,03-5941-2983,埼玉県さいたま市,1000-2999,10000000,1979,,,,,,seed,active
空港FMサービス,,FM,4,https://www.example.co.jp/536021/,https://www.example.co.jp/536021/recruit/,https://www.example.co.jp/536021/contact/,03-7071-2129,千葉県千葉市,50-99,100000000,2016,,,,,,seed,active
オフィスFMジャパン,,FM,4,https://www.example.co.jp/778503/,https://www.example.co.jp/778503/recruit/,https://www.example.co.jp/778503/contact/,03-9031-2729,東京都品川区,1-9,3000000000,2001,,,,,,seed,active
東京PMサービス,,PM,5,https://www.example.co.jp/385473/,https://www.example.co.jp/385473/recruit/,https://www.example.co.jp/385473/contact/,03-3506-8135,東京都新宿区,1000-2999,1000000000,2006,,,,,,seed,active
ジャパンPM,,PM,4,https://www.example.co.jp/23177/,https://www.example.co.jp/23177/recruit/,https://www.example.co.jp/23177/contact/,03-9817-8921,神奈川県横浜市,1000-2999,300000000,1982,,,,,,seed,active
三井不動産レジデンシャルサービス,,PM,3,https://www.example.co.jp/177731/,https://www.example.co.jp/177731/recruit/,https://www.example.co.jp/177731/contact/,03-5022-2419,東京都中央区,1000-2999,50000000,1982,,,,,,seed,active
東急コミュニティー,,PM,5,https://www.example.co.jp/919998/,https://www.example.co.jp/919998/recruit/,https://www.example.co.jp/919998/contact/,03-7209-6511,東京都千代田区,10-49,300000000,2007,,,,,,seed,active
住友不動産建物サービス,,PM,3,https://www.example.co.jp/86979/,https://www.example.co.jp/86979/recruit/,https://www.example.co.jp/86979/contact/,03-4475-6813,東京都中央区,50-99,100000000,1971,,,,,,seed,active
野村不動産パートナーズ,,PM,3,https://www.example.co.jp/623113/,https://www.example.co.jp/623113/recruit/,https://www.example.co.jp/623113/contact/,03-1166-9464,東京都渋谷区,300-999,300000000,1983,,,,,,seed,active
大京アステージ,,PM,2,https://www.example.co.jp/478973/,https://www.example.co.jp/478973/recruit/,https://www.example.co.jp/478973/contact/,03-4937-8800,神奈川県横浜市,1000-2999,100000000,2000,,,,,,seed,active
コミュニティワン,,PM,3,https://www.example.co.jp/517184/,https://www.example.co.jp/517184/recruit/,https://www.example.co.jp/517184/contact/,03-4630-7625,東京都渋谷区,1-9,50000000,1959,,,,,,seed,active
長谷工コミュニティ,,PM,3,https://www.example.co.jp/592231/,https://www.example.co.jp/592231/recruit/,https://www.example.co.jp/592231/contact/,03-9698-6632,東京都品川区,300-999,100000000,1995,,,,,,seed,active
日本ハウズイング,,PM,5,https://www.example.co.jp/564109/,https://www.example.co.jp/564109/recruit/,https://www.example.co.jp/564109/contact/,03-8434-5438,東京都中央区,300-999,50000000,1990,,,,,,seed,active
穴吹コミュニティ,,PM,3,https://www.example.co.jp/666710/,https://www.example.co.jp/666710/recruit/,https://www.example.co.jp/666710/contact/,03-2958-9779,東京都新宿区,1-9,50000000,1972,,,,,,seed,active
レーベンコミュニティ,,PM,2,https://www.example.co.jp/684557/,https://www.example.co.jp/684557/recruit/,https://www.example.co.jp/684557/contact/,03-9595-5636,東京都港区,1000-2999,50000000,2009,,,,,,seed,active
東京建物アメニティサポートPM,,PM,4,https://www.example.co.jp/759128/,https://www.example.co.jp/759128/recruit/,https://www.example.co.jp/759128/contact/,03-3939-5952,東京都千代田区,50-99,50000000,1977,,,,,,seed,active
スターツアメニティー,,PM,4,https://www.example.co.jp/626869/,https://www.example.co.jp/626869/recruit/,https://www.example.co.jp/626869/contact/,03-1893-5786,東京都新宿区,10-49,10000000,1983,,,,,,seed,active
あなぶきハウジングサービス,,PM,4,https://www.example.co.jp/299948/,https://www.example.co.jp/299948/recruit/,https://www.example.co.jp/299948/contact/,03-1200-5658,神奈川県横浜市,3000+,10000000,2010,,,,,,seed,active
合人社計画研究所,,PM,3,https://www.example.co.jp/755519/,https://www.example.co.jp/755519/recruit/,https://www.example.co.jp/755519/contact/,03-5136-8827,東京都港区,50-99,10000000,1971,,,,,,seed,active
伊藤忠アーバンコミュニティ,,PM,4,https://www.example.co.jp/657098/,https://www.example.co.jp/657098/recruit/,https://www.example.co.jp/657098/contact/,03-1878-3485,東京都新宿区,100-299,10000000,2010,,,,,,seed,active
三菱地所コミュニティ,,PM,4,https://www.example.co.jp/90842/,https://www.example.co.jp/90842/recruit/,https://www.example.co.jp/90842/contact/,03-2940-7818,埼玉県さいたま市,50-99,30000000,1958,,,,,,seed,active
NRECサービス,,PM,3,https://www.example.co.jp/497273/,https://www.example.co.jp/497273/recruit/,https://www.example.co.jp/497273/contact/,03-9561-7232,神奈川県横浜市,300-999,3000000000,1976,,,,,,seed,active
ナイス管理サービス,,PM,5,https://www.example.co.jp/233118/,https://www.example.co.jp/233118/recruit/,https://www.example.co.jp/233118/contact/,03-1986-2625,東京都渋谷区,50-99,50000000,2002,,,,,,seed,active
東京PMホールディングス,,PM,4,https://www.example.co.jp/468043/,https://www.example.co.jp/468043/recruit/,https://www.example.co.jp/468043/contact/,03-4929-3847,千葉県千葉市,50-99,30000000,1958,,,,,,seed,active
関東PMパートナーズ,,PM,2,https://www.example.co.jp/108360/,https://www.example.co.jp/108360/recruit/,https://www.example.co.jp/108360/contact/,03-8699-5771,東京都千代田区,1-9,100000000,2000,,,,,,seed,active
東日本PMサービス,,PM,3,https://www.example.co.jp/744324/,https://www.example.co.jp/744324/recruit/,https://www.example.co.jp/744324/contact/,03-8438-2166,東京都渋谷区,1000-2999,1000000000,1984,,,,,,seed,active
横浜PM,,PM,5,https://www.example.co.jp/546476/,https://www.example.co.jp/546476/recruit/,https://www.example.co.jp/546476/contact/,03-2880-9922,東京都渋谷区,3000+,100000000,1973,,,,,,seed,active
千葉PM,,PM,4,https://www.example.co.jp/42731/,https://www.example.co.jp/42731/recruit/,https://www.example.co.jp/42731/contact/,03-1977-3718,東京都中央区,50-99,10000000,1966,,,,,,seed,active
埼玉PM,,PM,3,https://www.example.co.jp/331037/,https://www.example.co.jp/331037/recruit/,https://www.example.co.jp/331037/contact/,03-3037-8679,東京都中央区,3000+,100000000,1984,,,,,,seed,active
川崎PMパートナーズ,,PM,4,https://www.example.co.jp/265046/,https://www.example.co.jp/265046/recruit/,https://www.example.co.jp/265046/contact/,03-9090-8172,東京都港区,50-99,300000000,2012,,,,,,seed,active
湾岸PM,,PM,3,https://www.example.co.jp/222565/,https://www.example.co.jp/222565/recruit/,https://www.example.co.jp/222565/contact/,03-5102-1423,東京都港区,100-299,300000000,1989,,,,,,seed,active
都心PMサービス,,PM,3,https://www.example.co.jp/108483/,https://www.example.co.jp/108483/recruit/,https://www.example.co.jp/108483/contact/,03-5415-1659,東京都新宿区,1000-2999,3000000000,1950,,,,,,seed,active
副都心PM,,PM,3,https://www.example.co.jp/473495/,https://www.example.co.jp/473495/recruit/,https://www.example.co.jp/473495/contact/,03-3973-8141,神奈川県横浜市,1000-2999,50000000,2004,,,,,,seed,active
