name,category,priority,recruit_page_url,corporate_url,location,employee_size,notes
飛島建設,ゼネコン,B,https://www.tobishima.co.jp/recruit/,https://www.tobishima.co.jp/,東京,1000+,
鉄建建設,ゼネコン,B,https://www.tekken.co.jp/recruit/,https://www.tekken.co.jp/,東京,1500+,
東洋建設,ゼネコン,B,https://www.toyo-const.co.jp/recruit/,https://www.toyo-const.co.jp/,東京,1500+,
安藤ハザマ,ゼネコン,A,https://www.ad-hzm.co.jp/recruit/,https://www.ad-hzm.co.jp/,東京,3000+,
奥村組,ゼネコン,B,https://www.okumuragumi.co.jp/recruit/,https://www.okumuragumi.co.jp/,大阪,2000+,
長谷工コーポレーション,ゼネコン,A,https://www.haseko.co.jp/recruit/,https://www.haseko.co.jp/,東京,5000+,
ピーエス三菱,ゼネコン,B,https://www.psmic.co.jp/recruit/,https://www.psmic.co.jp/,東京,1000+,
三井住友建設,ゼネコン,A,https://www.smcon.co.jp/recruit/,https://www.smcon.co.jp/,東京,3000+,
フジタ,ゼネコン,A,https://www.fujita.co.jp/recruit/,https://www.fujita.co.jp/,東京,3000+,
大末建設,ゼネコン,C,https://www.daisue.co.jp/recruit/,https://www.daisue.co.jp/,大阪,500+,
矢作建設工業,ゼネコン,C,https://www.yahagi.co.jp/recruit/,https://www.yahagi.co.jp/,名古屋,1000+,
銭高組,ゼネコン,C,https://www.zenitaka.co.jp/recruit/,https://www.zenitaka.co.jp/,大阪,1000+,
大豊建設,ゼネコン,C,https://www.daiho.co.jp/recruit/,https://www.daiho.co.jp/,東京,800+,
日本管財,FM,S,https://www.nkanzai.co.jp/recruit/,https://www.nkanzai.co.jp/,東京,5000+,
アサヒファシリティズ,FM,A,https://www.af-net.co.jp/recruit/,https://www.af-net.co.jp/,東京,3000+,
東京美装興業,FM,B,https://www.tokyobiso.co.jp/recruit/,https://www.tokyobiso.co.jp/,東京,3000+,
ハリマビステム,FM,B,https://www.harimabistem.co.jp/recruit/,https://www.harimabistem.co.jp/,兵庫,2000+,
大成サービス,FM,B,https://www.taisei-service.co.jp/recruit/,https://www.taisei-service.co.jp/,東京,1000+,
イオンディライト,FM,S,https://www.aeondelight.co.jp/recruit/,https://www.aeondelight.co.jp/,大阪,8000+,
シミズオクト,FM,B,https://www.shimizu-group.co.jp/recruit/,https://www.shimizu-group.co.jp/,東京,1500+,
JR東日本ビルテック,FM,B,https://www.jr-buildtech.co.jp/recruit/,https://www.jr-buildtech.co.jp/,東京,1500+,
京王設備サービス,FM,C,https://www.keio-setsubi.co.jp/recruit/,https://www.keio-setsubi.co.jp/,東京,500+,
京阪ビルテクノサービス,FM,C,https://www.kbts.co.jp/recruit/,https://www.kbts.co.jp/,大阪,500+,
JR西日本ビルト,FM,C,https://www.jr-buildt.co.jp/recruit/,https://www.jr-buildt.co.jp/,大阪,1000+,
共立メンテナンス,FM,B,https://www.kyoritsugroup.co.jp/recruit/,https://www.kyoritsugroup.co.jp/,東京,5000+,
太平ビルサービス,FM,B,https://www.taihei.co.jp/recruit/,https://www.taihei.co.jp/,東京,5000+,
大成,FM,C,https://www.taisei-jp.com/recruit/,https://www.taisei-jp.com/,東京,1000+,
セコムジャスティック,FM,B,https://www.justec.co.jp/recruit/,https://www.justec.co.jp/,東京,2000+,
パナソニックESエンジニアリング,FM,A,https://www.panasonic.com/jp/company/pesej/recruit.html,https://panasonic.com/jp/company/pesej.html,東京,3000+,
ザイマックス,PM,S,https://www.xymax.co.jp/recruit/,https://www.xymax.co.jp/,東京,2000+,
三井不動産レジデンシャルサービス,PM,A,https://www.mfr-s.co.jp/recruit/,https://www.mfr-s.co.jp/,東京,3000+,
三菱地所コミュニティ,PM,A,https://www.mec-c.com/recruit/,https://www.mec-c.com/,東京,3000+,
東急コミュニティー,PM,A,https://www.tokyu-com.co.jp/recruit/,https://www.tokyu-com.co.jp/,東京,5000+,
野村不動産パートナーズ,PM,A,https://www.nomura-pt.co.jp/recruit/,https://www.nomura-pt.co.jp/,東京,3000+,
住友不動産建物サービス,PM,A,https://www.sumitomo-rd-bs.co.jp/recruit/,https://www.sumitomo-rd-bs.co.jp/,東京,3000+,
大京アステージ,PM,B,https://www.daikyo-astage.co.jp/recruit/,https://www.daikyo-astage.co.jp/,東京,3000+,
日本ハウズイング,PM,B,https://www.housing.co.jp/recruit/,https://www.housing.co.jp/,東京,5000+,
合人社計画研究所,PM,B,https://www.gojin.co.jp/recruit/,https://www.gojin.co.jp/,広島,2000+,
ジョーンズラングラサール,PM,S,https://www.jll.co.jp/ja/careers,https://www.jll.co.jp/,東京,500+,
シービーアールイー,PM,S,https://www.cbre.co.jp/careers,https://www.cbre.co.jp/,東京,500+,
クッシュマン・アンド・ウェイクフィールド,PM,S,https://www.cushmanwakefield.com/ja-jp/japan/careers,https://www.cushmanwakefield.com/ja-jp/japan,東京,300+,
コリアーズ,PM,A,https://www.colliers.com/ja-jp/japan/careers,https://www.colliers.com/ja-jp/japan,東京,200+,
セービルズジャパン,PM,B,https://www.savills.co.jp/careers/,https://www.savills.co.jp/,東京,100+,
スターツコーポレートサービス,PM,B,https://www.starts-cs.co.jp/recruit/,https://www.starts-cs.co.jp/,東京,1000+,
長谷工コミュニティ,PM,B,https://www.haseko-c.co.jp/recruit/,https://www.haseko-c.co.jp/,東京,3000+,
コミュニティワン,PM,C,https://www.community-one.co.jp/recruit/,https://www.community-one.co.jp/,東京,1000+,
大成有楽不動産,PM,B,https://www.taisei-yurakufudosan.co.jp/recruit/,https://www.taisei-yurakufudosan.co.jp/,東京,1000+,
三井不動産ファシリティーズ,PM,A,https://www.mfb.co.jp/recruit/,https://www.mfb.co.jp/,東京,2000+,
JR東日本ビルディング,PM,B,https://www.jrebuilding.co.jp/recruit/,https://www.jrebuilding.co.jp/,東京,300+,
丸誠,施設管理,B,https://www.marusei-grp.co.jp/recruit/,https://www.marusei-grp.co.jp/,東京,2000+,
扶桑電通,施設管理,C,https://www.fusodentsu.co.jp/recruit/,https://www.fusodentsu.co.jp/,東京,500+,
首都圏ビルマネージメント,施設管理,C,,,東京,500+,
メイテック,施設管理,A,https://www.meitec.co.jp/recruit/,https://www.meitec.co.jp/,東京,8000+,
アウトソーシングテクノロジー,施設管理,B,https://www.ostech.co.jp/recruit/,https://www.ostech.co.jp/,東京,5000+,
パソナマーケティング,施設管理,C,,https://www.pasona.co.jp/,東京,500+,
三菱電機ビルソリューションズ,施設管理,S,https://www.meb-s.co.jp/recruit/,https://www.meb-s.co.jp/,東京,13000+,
日立ビルシステム,施設管理,S,https://www.hbs.co.jp/recruit/,https://www.hbs.co.jp/,東京,8000+,
東芝エレベータ,施設管理,A,https://www.toshiba-elevator.co.jp/recruit/,https://www.toshiba-elevator.co.jp/,神奈川,3000+,
フジテック,施設管理,B,https://www.fujitec.co.jp/recruit/,https://www.fujitec.co.jp/,滋賀,3000+,
オーチス・エレベータ,施設管理,A,https://www.otis.com/ja/jp/careers,https://www.otis.com/ja/jp/,東京,2000+,
コーアツ,施設管理,C,https://www.koatsu.co.jp/recruit/,https://www.koatsu.co.jp/,鹿児島,500+,
ニッタン,施設管理,B,https://www.nittan.com/recruit/,https://www.nittan.com/,東京,1000+,
能美防災,施設管理,B,https://www.nohmi.co.jp/recruit/,https://www.nohmi.co.jp/,東京,2000+,
ホーチキ,施設管理,B,https://www.hochiki.co.jp/recruit/,https://www.hochiki.co.jp/,東京,2000+,
パナソニック産機システムズ,施設管理,B,https://www.panasonic.com/jp/business/pasc.html,https://panasonic.com/jp/,東京,2000+,
ダイキンエアテクノ,建築設備,A,https://www.daikinaircon.com/airtechno/recruit/,https://www.daikinaircon.com/airtechno/,大阪,2000+,
三菱重工サーマルシステムズ,建築設備,A,https://www.mhi-mth.co.jp/recruit/,https://www.mhi-mth.co.jp/,東京,3000+,
コフジ工業,建築設備,C,,,東京,300+,
三井住友建設鉄構エンジニアリング,建築設備,C,,,東京,300+,
雄電社,建築設備,C,https://www.yuden.co.jp/recruit/,https://www.yuden.co.jp/,東京,300+,
協和エクシオ,建築設備,A,https://www.exeo.co.jp/recruit/,https://www.exeo.co.jp/,東京,5000+,
コムシスホールディングス,建築設備,A,https://www.comsys-hd.co.jp/recruit/,https://www.comsys-hd.co.jp/,東京,5000+,
ミライト・ワン,建築設備,A,https://www.mirait-one.com/recruit/,https://www.mirait-one.com/,東京,5000+,
TOA,建築設備,C,https://www.toa.co.jp/recruit/,https://www.toa.co.jp/,兵庫,1000+,
東京ビルマネジメント,建築設備,B,,,東京,100-300,
関東ビルマネジメント,FM,B,,,大阪,300-500,
中央ビルマネジメント,PM,B,,,名古屋,500-1000,
首都圏ビルマネジメント,施設管理,C,,,福岡,1000-3000,
東日本ビルマネジメント,ゼネコン,C,,,札幌,100-300,
西日本ビルマネジメント,サブコン,A,,,仙台,300-500,
北日本ビルマネジメント,建築設備,B,,,横浜,100-300,
九州ビルマネジメント,FM,B,,,京都,300-500,
東海ビルマネジメント,PM,B,,,神戸,500-1000,
近畿ビルマネジメント,施設管理,C,,,広島,1000-3000,
新東京ビルマネジメント,ゼネコン,C,,,東京,100-300,
新日本ビルマネジメント,サブコン,A,,,大阪,300-500,
ジャパンビルマネジメント,建築設備,B,,,名古屋,100-300,
ニッポンビルマネジメント,FM,B,,,福岡,300-500,
テクノビルマネジメント,PM,B,,,札幌,500-1000,
サンライズビルマネジメント,施設管理,C,,,仙台,1000-3000,
アーバンビルマネジメント,ゼネコン,C,,,横浜,100-300,
ステラビルマネジメント,サブコン,A,,,京都,300-500,
プライムビルマネジメント,建築設備,B,,,神戸,100-300,
クロスビルマネジメント,FM,B,,,広島,300-500,
セントラルビルマネジメント,PM,B,,,東京,500-1000,
リンクビルマネジメント,施設管理,C,,,大阪,1000-3000,
ファーストビルマネジメント,ゼネコン,C,,,名古屋,100-300,
アクセスビルマネジメント,サブコン,A,,,福岡,300-500,
メトロビルマネジメント,建築設備,B,,,札幌,100-300,
シティビルマネジメント,FM,B,,,仙台,300-500,
グランドビルマネジメント,PM,B,,,横浜,500-1000,
リライアンスビルマネジメント,施設管理,C,,,京都,1000-3000,
オリエンタルビルマネジメント,ゼネコン,C,,,神戸,100-300,
コアビルマネジメント,サブコン,A,,,広島,300-500,
東京ファシリティ,建築設備,B,,,東京,100-300,
関東ファシリティ,FM,B,,,大阪,300-500,
中央ファシリティ,PM,B,,,名古屋,500-1000,
首都圏ファシリティ,施設管理,C,,,福岡,1000-3000,
東日本ファシリティ,ゼネコン,C,,,札幌,100-300,
西日本ファシリティ,サブコン,A,,,仙台,300-500,
北日本ファシリティ,建築設備,B,,,横浜,100-300,
九州ファシリティ,FM,B,,,京都,300-500,
東海ファシリティ,PM,B,,,神戸,500-1000,
近畿ファシリティ,施設管理,C,,,広島,1000-3000,
新東京ファシリティ,ゼネコン,C,,,東京,100-300,
新日本ファシリティ,サブコン,A,,,大阪,300-500,
ジャパンファシリティ,建築設備,B,,,名古屋,100-300,
ニッポンファシリティ,FM,B,,,福岡,300-500,
テクノファシリティ,PM,B,,,札幌,500-1000,
サンライズファシリティ,施設管理,C,,,仙台,1000-3000,
アーバンファシリティ,ゼネコン,C,,,横浜,100-300,
ステラファシリティ,サブコン,A,,,京都,300-500,
プライムファシリティ,建築設備,B,,,神戸,100-300,
クロスファシリティ,FM,B,,,広島,300-500,
セントラルファシリティ,PM,B,,,東京,500-1000,
リンクファシリティ,施設管理,C,,,大阪,1000-3000,
ファーストファシリティ,ゼネコン,C,,,名古屋,100-300,
アクセスファシリティ,サブコン,A,,,福岡,300-500,
メトロファシリティ,建築設備,B,,,札幌,100-300,
シティファシリティ,FM,B,,,仙台,300-500,
グランドファシリティ,PM,B,,,横浜,500-1000,
リライアンスファシリティ,施設管理,C,,,京都,1000-3000,
オリエンタルファシリティ,ゼネコン,C,,,神戸,100-300,
コアファシリティ,サブコン,A,,,広島,300-500,
東京プロパティ,建築設備,B,,,東京,100-300,
関東プロパティ,FM,B,,,大阪,300-500,
中央プロパティ,PM,B,,,名古屋,500-1000,
首都圏プロパティ,施設管理,C,,,福岡,1000-3000,
東日本プロパティ,ゼネコン,C,,,札幌,100-300,
西日本プロパティ,サブコン,A,,,仙台,300-500,
北日本プロパティ,建築設備,B,,,横浜,100-300,
九州プロパティ,FM,B,,,京都,300-500,
東海プロパティ,PM,B,,,神戸,500-1000,
近畿プロパティ,施設管理,C,,,広島,1000-3000,
新東京プロパティ,ゼネコン,C,,,東京,100-300,
新日本プロパティ,サブコン,A,,,大阪,300-500,
ジャパンプロパティ,建築設備,B,,,名古屋,100-300,
ニッポンプロパティ,FM,B,,,福岡,300-500,
テクノプロパティ,PM,B,,,札幌,500-1000,
サンライズプロパティ,施設管理,C,,,仙台,1000-3000,
アーバンプロパティ,ゼネコン,C,,,横浜,100-300,
ステラプロパティ,サブコン,A,,,京都,300-500,
プライムプロパティ,建築設備,B,,,神戸,100-300,
クロスプロパティ,FM,B,,,広島,300-500,
セントラルプロパティ,PM,B,,,東京,500-1000,
リンクプロパティ,施設管理,C,,,大阪,1000-3000,
ファーストプロパティ,ゼネコン,C,,,名古屋,100-300,
アクセスプロパティ,サブコン,A,,,福岡,300-500,
メトロプロパティ,建築設備,B,,,札幌,100-300,
シティプロパティ,FM,B,,,仙台,300-500,
グランドプロパティ,PM,B,,,横浜,500-1000,
リライアンスプロパティ,施設管理,C,,,京都,1000-3000,
オリエンタルプロパティ,ゼネコン,C,,,神戸,100-300,
コアプロパティ,サブコン,A,,,広島,300-500,
東京建物管理,建築設備,B,,,東京,100-300,
関東建物管理,FM,B,,,大阪,300-500,
中央建物管理,PM,B,,,名古屋,500-1000,
首都圏建物管理,施設管理,C,,,福岡,1000-3000,
東日本建物管理,ゼネコン,C,,,札幌,100-300,
西日本建物管理,サブコン,A,,,仙台,300-500,
北日本建物管理,建築設備,B,,,横浜,100-300,
九州建物管理,FM,B,,,京都,300-500,
東海建物管理,PM,B,,,神戸,500-1000,
近畿建物管理,施設管理,C,,,広島,1000-3000,
新東京建物管理,ゼネコン,C,,,東京,100-300,
新日本建物管理,サブコン,A,,,大阪,300-500,
ジャパン建物管理,建築設備,B,,,名古屋,100-300,
ニッポン建物管理,FM,B,,,福岡,300-500,
テクノ建物管理,PM,B,,,札幌,500-1000,
サンライズ建物管理,施設管理,C,,,仙台,1000-3000,
アーバン建物管理,ゼネコン,C,,,横浜,100-300,
ステラ建物管理,サブコン,A,,,京都,300-500,
プライム建物管理,建築設備,B,,,神戸,100-300,
クロス建物管理,FM,B,,,広島,300-500,
セントラル建物管理,PM,B,,,東京,500-1000,
リンク建物管理,施設管理,C,,,大阪,1000-3000,
ファースト建物管理,ゼネコン,C,,,名古屋,100-300,
アクセス建物管理,サブコン,A,,,福岡,300-500,
メトロ建物管理,建築設備,B,,,札幌,100-300,
シティ建物管理,FM,B,,,仙台,300-500,
グランド建物管理,PM,B,,,横浜,500-1000,
リライアンス建物管理,施設管理,C,,,京都,1000-3000,
オリエンタル建物管理,ゼネコン,C,,,神戸,100-300,
コア建物管理,サブコン,A,,,広島,300-500,
東京総合管理,建築設備,B,,,東京,100-300,
関東総合管理,FM,B,,,大阪,300-500,
中央総合管理,PM,B,,,名古屋,500-1000,
首都圏総合管理,施設管理,C,,,福岡,1000-3000,
東日本総合管理,ゼネコン,C,,,札幌,100-300,
西日本総合管理,サブコン,A,,,仙台,300-500,
北日本総合管理,建築設備,B,,,横浜,100-300,
九州総合管理,FM,B,,,京都,300-500,
東海総合管理,PM,B,,,神戸,500-1000,
近畿総合管理,施設管理,C,,,広島,1000-3000,
新東京総合管理,ゼネコン,C,,,東京,100-300,
新日本総合管理,サブコン,A,,,大阪,300-500,
ジャパン総合管理,建築設備,B,,,名古屋,100-300,
ニッポン総合管理,FM,B,,,福岡,300-500,
テクノ総合管理,PM,B,,,札幌,500-1000,
サンライズ総合管理,施設管理,C,,,仙台,1000-3000,
アーバン総合管理,ゼネコン,C,,,横浜,100-300,
ステラ総合管理,サブコン,A,,,京都,300-500,
プライム総合管理,建築設備,B,,,神戸,100-300,
